shift_id,emp_id,start_time,end_time,coffee_rating,sandwich_rating,customer_service_rating,speed_rating,present
1000,1001,2025-09-01T07:00:00,2025-09-01T15:00:00,,,,,True
1000,1003,2025-09-01T07:00:00,2025-09-01T15:00:00,50,,76,80,True
1000,1006,2025-09-01T07:00:00,2025-09-01T15:00:00,95,,55,77,True
1000,1007,2025-09-01T05:00:00,2025-09-01T12:00:00,,91,,,True
1001,1002,2025-09-02T07:00:00,2025-09-02T15:00:00,,,,,True
1001,1004,2025-09-02T07:00:00,2025-09-02T15:00:00,53,,74,86,True
1001,1005,2025-09-02T07:00:00,2025-09-02T15:00:00,73,,53,75,True
1001,1008,2025-09-02T05:00:00,2025-09-02T12:00:00,,71,,,True
1002,1001,2025-09-03T07:00:00,2025-09-03T15:00:00,,,,,True
1002,1003,2025-09-03T07:00:00,2025-09-03T15:00:00,33,,73,67,True
1002,1006,2025-09-03T07:00:00,2025-09-03T15:00:00,86,,48,65,True
1002,1007,2025-09-03T05:00:00,2025-09-03T12:00:00,,90,,,True
1003,1002,2025-09-04T07:00:00,2025-09-04T15:00:00,,,,,True
1003,1004,2025-09-04T07:00:00,2025-09-04T15:00:00,45,,78,71,True
1003,1005,2025-09-04T07:00:00,2025-09-04T15:00:00,72,,59,61,True
1003,1008,2025-09-04T05:00:00,2025-09-04T12:00:00,,81,,,True
1004,1001,2025-09-05T07:00:00,2025-09-05T15:00:00,,,,,True
1004,1003,2025-09-05T07:00:00,2025-09-05T15:00:00,45,,73,66,True
1004,1006,2025-09-05T07:00:00,2025-09-05T15:00:00,95,,51,69,True
1004,1007,2025-09-05T05:00:00,2025-09-05T12:00:00,,94,,,True
1005,1001,2025-09-06T07:00:00,2025-09-06T15:00:00,,,,,True
1005,1002,2025-09-06T07:00:00,2025-09-06T15:00:00,,,,,True
1005,1003,2025-09-06T11:00:00,2025-09-06T15:00:00,42,,74,56,True
1005,1004,2025-09-06T07:00:00,2025-09-06T12:00:00,50,,76,85,True
1005,1005,2025-09-06T07:00:00,2025-09-06T12:00:00,70,,55,64,True
1005,1008,2025-09-06T05:00:00,2025-09-06T13:30:00,,71,,,True
1006,1001,2025-09-07T07:00:00,2025-09-07T15:00:00,,,,,True
1006,1002,2025-09-07T07:00:00,2025-09-07T15:00:00,,,,,True
1006,1003,2025-09-07T11:00:00,2025-09-07T15:00:00,47,,72,75,True
1006,1004,2025-09-07T07:00:00,2025-09-07T12:00:00,56,,70,83,True
1006,1005,2025-09-07T07:00:00,2025-09-07T12:00:00,67,,53,69,True
1006,1007,2025-09-07T05:00:00,2025-09-07T13:30:00,,96,,,True
1007,1001,2025-09-08T07:00:00,2025-09-08T15:00:00,,,,,True
1007,1003,2025-09-08T07:00:00,2025-09-08T15:00:00,57,,71,64,True
1007,1006,2025-09-08T07:00:00,2025-09-08T15:00:00,89,,54,72,True
1007,1007,2025-09-08T05:00:00,2025-09-08T12:00:00,,93,,,True
1008,1002,2025-09-09T07:00:00,2025-09-09T15:00:00,,,,,True
1008,1004,2025-09-09T07:00:00,2025-09-09T15:00:00,52,,70,86,True
1008,1005,2025-09-09T07:00:00,2025-09-09T15:00:00,72,,54,71,True
1008,1008,2025-09-09T05:00:00,2025-09-09T12:00:00,,79,,,True
1009,1001,2025-09-10T07:00:00,2025-09-10T15:00:00,,,,,True
1009,1003,2025-09-10T07:00:00,2025-09-10T15:00:00,48,,74,78,True
1009,1006,2025-09-10T07:00:00,2025-09-10T15:00:00,87,,56,63,True
1009,1007,2025-09-10T05:00:00,2025-09-10T12:00:00,,96,,,True
1010,1002,2025-09-11T07:00:00,2025-09-11T15:00:00,,,,,True
1010,1004,2025-09-11T07:00:00,2025-09-11T15:00:00,57,,72,82,True
1010,1005,2025-09-11T07:00:00,2025-09-11T15:00:00,62,,54,68,True
1010,1008,2025-09-11T05:00:00,2025-09-11T12:00:00,,84,,,True
1011,1001,2025-09-12T07:00:00,2025-09-12T15:00:00,,,,,True
1011,1003,2025-09-12T07:00:00,2025-09-12T15:00:00,50,,70,63,True
1011,1006,2025-09-12T07:00:00,2025-09-12T15:00:00,90,,53,71,True
1011,1007,2025-09-12T05:00:00,2025-09-12T12:00:00,,95,,,True
1012,1001,2025-09-13T07:00:00,2025-09-13T15:00:00,,,,,True
1012,1002,2025-09-13T07:00:00,2025-09-13T15:00:00,,,,,True
1012,1003,2025-09-13T11:00:00,2025-09-13T15:00:00,54,,75,61,True
1012,1004,2025-09-13T07:00:00,2025-09-13T12:00:00,55,,72,74,True
1012,1005,2025-09-13T07:00:00,2025-09-13T12:00:00,68,,55,66,True
1012,1008,2025-09-13T05:00:00,2025-09-13T13:30:00,,77,,,True
1013,1001,2025-09-14T07:00:00,2025-09-14T15:00:00,,,,,True
1013,1002,2025-09-14T07:00:00,2025-09-14T15:00:00,,,,,True
1013,1003,2025-09-14T11:00:00,2025-09-14T15:00:00,45,,71,64,True
1013,1004,2025-09-14T07:00:00,2025-09-14T12:00:00,54,,72,83,True
1013,1005,2025-09-14T07:00:00,2025-09-14T12:00:00,74,,55,67,True
1013,1007,2025-09-14T05:00:00,2025-09-14T13:30:00,,93,,,True
1014,1001,2025-09-15T07:00:00,2025-09-15T15:00:00,,,,,True
1014,1003,2025-09-15T07:00:00,2025-09-15T15:00:00,42,,72,66,True
1014,1006,2025-09-15T07:00:00,2025-09-15T15:00:00,95,,52,75,True
1014,1007,2025-09-15T05:00:00,2025-09-15T12:00:00,,93,,,True
1015,1002,2025-09-16T07:00:00,2025-09-16T15:00:00,,,,,True
1015,1004,2025-09-16T07:00:00,2025-09-16T15:00:00,53,,76,85,True
1015,1005,2025-09-16T07:00:00,2025-09-16T15:00:00,70,,52,72,True
1015,1008,2025-09-16T05:00:00,2025-09-16T12:00:00,,72,,,True
1016,1001,2025-09-17T07:00:00,2025-09-17T15:00:00,,,,,True
1016,1003,2025-09-17T07:00:00,2025-09-17T15:00:00,57,,79,59,True
1016,1006,2025-09-17T07:00:00,2025-09-17T15:00:00,85,,53,72,True
1016,1007,2025-09-17T05:00:00,2025-09-17T12:00:00,,89,,,True
1017,1002,2025-09-18T07:00:00,2025-09-18T15:00:00,,,,,True
1017,1004,2025-09-18T07:00:00,2025-09-18T15:00:00,57,,70,84,True
1017,1005,2025-09-18T07:00:00,2025-09-18T15:00:00,64,,59,63,True
1017,1008,2025-09-18T05:00:00,2025-09-18T12:00:00,,77,,,True
1018,1001,2025-09-19T07:00:00,2025-09-19T15:00:00,,,,,True
1018,1003,2025-09-19T07:00:00,2025-09-19T15:00:00,59,,69,67,True
1018,1006,2025-09-19T07:00:00,2025-09-19T15:00:00,92,,47,75,True
1018,1007,2025-09-19T05:00:00,2025-09-19T12:00:00,,94,,,True
1019,1001,2025-09-20T07:00:00,2025-09-20T15:00:00,,,,,True
1019,1002,2025-09-20T07:00:00,2025-09-20T15:00:00,,,,,True
1019,1003,2025-09-20T11:00:00,2025-09-20T15:00:00,60,,69,56,True
1019,1004,2025-09-20T07:00:00,2025-09-20T12:00:00,59,,73,83,True
1019,1005,2025-09-20T07:00:00,2025-09-20T12:00:00,68,,52,67,True
1019,1008,2025-09-20T05:00:00,2025-09-20T13:30:00,,80,,,True
1020,1001,2025-09-21T07:00:00,2025-09-21T15:00:00,,,,,True
1020,1002,2025-09-21T07:00:00,2025-09-21T15:00:00,,,,,True
1020,1003,2025-09-21T11:00:00,2025-09-21T15:00:00,50,,78,68,True
1020,1004,2025-09-21T07:00:00,2025-09-21T12:00:00,53,,74,77,True
1020,1005,2025-09-21T07:00:00,2025-09-21T12:00:00,70,,58,63,True
1020,1007,2025-09-21T05:00:00,2025-09-21T13:30:00,,96,,,True
1021,1001,2025-09-22T07:00:00,2025-09-22T15:00:00,,,,,True
1021,1003,2025-09-22T07:00:00,2025-09-22T15:00:00,58,,75,78,True
1021,1006,2025-09-22T07:00:00,2025-09-22T15:00:00,86,,49,71,True
1021,1007,2025-09-22T05:00:00,2025-09-22T12:00:00,,91,,,True
1022,1002,2025-09-23T07:00:00,2025-09-23T15:00:00,,,,,True
1022,1004,2025-09-23T07:00:00,2025-09-23T15:00:00,57,,74,83,True
1022,1005,2025-09-23T07:00:00,2025-09-23T15:00:00,70,,54,72,True
1022,1008,2025-09-23T05:00:00,2025-09-23T12:00:00,,77,,,True
1023,1001,2025-09-24T07:00:00,2025-09-24T15:00:00,,,,,True
1023,1003,2025-09-24T07:00:00,2025-09-24T15:00:00,75,,75,59,True
1023,1006,2025-09-24T07:00:00,2025-09-24T15:00:00,82,,53,74,True
1023,1007,2025-09-24T05:00:00,2025-09-24T12:00:00,,96,,,True
1024,1002,2025-09-25T07:00:00,2025-09-25T15:00:00,,,,,True
1024,1004,2025-09-25T07:00:00,2025-09-25T15:00:00,60,,72,77,True
1024,1005,2025-09-25T07:00:00,2025-09-25T15:00:00,62,,53,69,True
1024,1008,2025-09-25T05:00:00,2025-09-25T12:00:00,,79,,,True
1025,1001,2025-09-26T07:00:00,2025-09-26T15:00:00,,,,,True
1025,1003,2025-09-26T07:00:00,2025-09-26T15:00:00,45,,73,68,True
1025,1006,2025-09-26T07:00:00,2025-09-26T15:00:00,82,,52,75,True
1025,1007,2025-09-26T05:00:00,2025-09-26T12:00:00,,90,,,True
1026,1001,2025-09-27T07:00:00,2025-09-27T15:00:00,,,,,True
1026,1002,2025-09-27T07:00:00,2025-09-27T15:00:00,,,,,True
1026,1003,2025-09-27T11:00:00,2025-09-27T15:00:00,59,,74,73,True
1026,1004,2025-09-27T07:00:00,2025-09-27T12:00:00,62,,68,77,True
1026,1005,2025-09-27T07:00:00,2025-09-27T12:00:00,69,,56,68,True
1026,1008,2025-09-27T05:00:00,2025-09-27T13:30:00,,94,,,True
1027,1001,2025-09-28T07:00:00,2025-09-28T15:00:00,,,,,True
1027,1002,2025-09-28T07:00:00,2025-09-28T15:00:00,,,,,True
1027,1003,2025-09-28T11:00:00,2025-09-28T15:00:00,61,,76,72,True
1027,1004,2025-09-28T07:00:00,2025-09-28T12:00:00,61,,71,84,True
1027,1005,2025-09-28T07:00:00,2025-09-28T12:00:00,64,,54,64,True
1027,1007,2025-09-28T05:00:00,2025-09-28T13:30:00,,94,,,True
1028,1001,2025-09-29T07:00:00,2025-09-29T15:00:00,,,,,True
1028,1003,2025-09-29T07:00:00,2025-09-29T15:00:00,77,,67,71,True
1028,1006,2025-09-29T07:00:00,2025-09-29T15:00:00,78,,50,80,True
1028,1007,2025-09-29T05:00:00,2025-09-29T12:00:00,,94,,,True
1029,1002,2025-09-30T07:00:00,2025-09-30T15:00:00,,,,,True
1029,1004,2025-09-30T07:00:00,2025-09-30T15:00:00,54,,70,84,True
1029,1005,2025-09-30T07:00:00,2025-09-30T15:00:00,64,,55,66,True
1029,1008,2025-09-30T05:00:00,2025-09-30T12:00:00,,75,,,True
1030,1001,2025-10-01T07:00:00,2025-10-01T15:00:00,,,,,True
1030,1003,2025-10-01T07:00:00,2025-10-01T15:00:00,79,,75,52,True
1030,1006,2025-10-01T07:00:00,2025-10-01T15:00:00,86,,49,79,True
1030,1007,2025-10-01T05:00:00,2025-10-01T12:00:00,,91,,,True
1031,1002,2025-10-02T07:00:00,2025-10-02T15:00:00,,,,,True
1031,1004,2025-10-02T07:00:00,2025-10-02T15:00:00,58,,73,85,True
1031,1005,2025-10-02T07:00:00,2025-10-02T15:00:00,62,,53,64,True
1031,1008,2025-10-02T05:00:00,2025-10-02T12:00:00,,75,,,True
1032,1001,2025-10-03T07:00:00,2025-10-03T15:00:00,,,,,True
1032,1003,2025-10-03T07:00:00,2025-10-03T15:00:00,78,,74,56,True
1032,1006,2025-10-03T07:00:00,2025-10-03T15:00:00,90,,57,81,True
1032,1007,2025-10-03T05:00:00,2025-10-03T12:00:00,,89,,,True
1033,1001,2025-10-04T07:00:00,2025-10-04T15:00:00,,,,,True
1033,1002,2025-10-04T07:00:00,2025-10-04T15:00:00,,,,,True
1033,1003,2025-10-04T11:00:00,2025-10-04T15:00:00,53,,77,60,True
1033,1004,2025-10-04T07:00:00,2025-10-04T12:00:00,60,,74,77,True
1033,1005,2025-10-04T07:00:00,2025-10-04T12:00:00,66,,44,62,True
1033,1008,2025-10-04T05:00:00,2025-10-04T13:30:00,,78,,,True
1034,1001,2025-10-05T07:00:00,2025-10-05T15:00:00,,,,,True
1034,1002,2025-10-05T07:00:00,2025-10-05T15:00:00,,,,,True
1034,1003,2025-10-05T11:00:00,2025-10-05T15:00:00,44,,78,54,True
1034,1004,2025-10-05T07:00:00,2025-10-05T12:00:00,57,,72,87,True
1034,1005,2025-10-05T07:00:00,2025-10-05T12:00:00,61,,57,66,True
1034,1007,2025-10-05T05:00:00,2025-10-05T13:30:00,,90,,,True
1035,1001,2025-10-06T07:00:00,2025-10-06T15:00:00,,,,,True
1035,1003,2025-10-06T07:00:00,2025-10-06T15:00:00,64,,74,60,True
1035,1006,2025-10-06T07:00:00,2025-10-06T15:00:00,85,,50,77,True
1035,1007,2025-10-06T05:00:00,2025-10-06T12:00:00,,95,,,True
1036,1002,2025-10-07T07:00:00,2025-10-07T15:00:00,,,,,True
1036,1004,2025-10-07T07:00:00,2025-10-07T15:00:00,65,,68,91,True
1036,1005,2025-10-07T07:00:00,2025-10-07T15:00:00,58,,53,68,True
1036,1008,2025-10-07T05:00:00,2025-10-07T12:00:00,,81,,,True
1037,1001,2025-10-08T07:00:00,2025-10-08T15:00:00,,,,,True
1037,1003,2025-10-08T07:00:00,2025-10-08T15:00:00,51,,72,61,True
1037,1006,2025-10-08T07:00:00,2025-10-08T15:00:00,82,,54,78,True
1037,1007,2025-10-08T05:00:00,2025-10-08T12:00:00,,91,,,True
1038,1002,2025-10-09T07:00:00,2025-10-09T15:00:00,,,,,True
1038,1004,2025-10-09T07:00:00,2025-10-09T15:00:00,63,,73,85,True
1038,1005,2025-10-09T07:00:00,2025-10-09T15:00:00,68,,51,64,True
1038,1008,2025-10-09T05:00:00,2025-10-09T12:00:00,,83,,,True
1039,1001,2025-10-10T07:00:00,2025-10-10T15:00:00,,,,,True
1039,1003,2025-10-10T07:00:00,2025-10-10T15:00:00,66,,73,65,True
1039,1006,2025-10-10T07:00:00,2025-10-10T15:00:00,91,,50,79,True
1039,1007,2025-10-10T05:00:00,2025-10-10T12:00:00,,93,,,True
1040,1001,2025-10-11T07:00:00,2025-10-11T15:00:00,,,,,True
1040,1002,2025-10-11T07:00:00,2025-10-11T15:00:00,,,,,True
1040,1003,2025-10-11T11:00:00,2025-10-11T15:00:00,56,,76,71,True
1040,1004,2025-10-11T07:00:00,2025-10-11T12:00:00,63,,76,82,True
1040,1005,2025-10-11T07:00:00,2025-10-11T12:00:00,69,,53,67,True
1040,1008,2025-10-11T05:00:00,2025-10-11T13:30:00,,79,,,True
1041,1001,2025-10-12T07:00:00,2025-10-12T15:00:00,,,,,True
1041,1002,2025-10-12T07:00:00,2025-10-12T15:00:00,,,,,True
1041,1003,2025-10-12T11:00:00,2025-10-12T15:00:00,60,,75,59,True
1041,1004,2025-10-12T07:00:00,2025-10-12T12:00:00,69,,69,76,True
1041,1005,2025-10-12T07:00:00,2025-10-12T12:00:00,71,,56,68,True
1041,1007,2025-10-12T05:00:00,2025-10-12T13:30:00,,95,,,True
1042,1001,2025-10-13T07:00:00,2025-10-13T15:00:00,,,,,True
1042,1003,2025-10-13T07:00:00,2025-10-13T15:00:00,59,,70,65,True
1042,1006,2025-10-13T07:00:00,2025-10-13T15:00:00,82,,54,76,True
1042,1007,2025-10-13T05:00:00,2025-10-13T12:00:00,,91,,,True
1043,1002,2025-10-14T07:00:00,2025-10-14T15:00:00,,,,,True
1043,1004,2025-10-14T07:00:00,2025-10-14T15:00:00,58,,73,79,True
1043,1005,2025-10-14T07:00:00,2025-10-14T15:00:00,62,,54,66,True
1043,1008,2025-10-14T05:00:00,2025-10-14T12:00:00,,77,,,True
1044,1001,2025-10-15T07:00:00,2025-10-15T15:00:00,,,,,True
1044,1003,2025-10-15T07:00:00,2025-10-15T15:00:00,54,,74,54,True
1044,1006,2025-10-15T07:00:00,2025-10-15T15:00:00,78,,49,76,True
1044,1007,2025-10-15T05:00:00,2025-10-15T12:00:00,,94,,,True
1045,1002,2025-10-16T07:00:00,2025-10-16T15:00:00,,,,,True
1045,1004,2025-10-16T07:00:00,2025-10-16T15:00:00,67,,74,81,True
1045,1005,2025-10-16T07:00:00,2025-10-16T15:00:00,66,,51,66,True
1045,1008,2025-10-16T05:00:00,2025-10-16T12:00:00,,78,,,True
1046,1001,2025-10-17T07:00:00,2025-10-17T15:00:00,,,,,True
1046,1003,2025-10-17T07:00:00,2025-10-17T15:00:00,62,,71,68,True
1046,1006,2025-10-17T07:00:00,2025-10-17T15:00:00,92,,51,79,True
1046,1007,2025-10-17T05:00:00,2025-10-17T12:00:00,,95,,,True
1047,1001,2025-10-18T07:00:00,2025-10-18T15:00:00,,,,,True
1047,1002,2025-10-18T07:00:00,2025-10-18T15:00:00,,,,,True
1047,1003,2025-10-18T11:00:00,2025-10-18T15:00:00,55,,74,64,True
1047,1004,2025-10-18T07:00:00,2025-10-18T12:00:00,61,,70,81,True
